@id,POI,description,latitude,longitude,adresse postale,localité,code postale
https://data.datatourisme.fr/13/f2007f27-6e0d-31e3-b891-5f737fce94d2,Nomade Restaurant,"[""Nomade restaurant est né de l'envie de créer un lieu à la fois convivial et raffiné. Guidés par nos expériences culinaires et nos voyages, nous aimerions partager les émotions suscitées par ces aventures en alliant cuisine du monde et cuisine traditionnel""]",45.564725,5.001317,"205 Voie Romaine, Le péage de Septème",Septème,38780
https://data.datatourisme.fr/13/f200dd61-acf9-3711-a375-615998a148b0,Bibliothèque municipale,"['Accès PC et internet, thèmes et animations selon saison, animation jeux de société le deuxième mercredi après-midi du mois, grand choix de BD, Polars et livres jeunesse.']",45.811742,4.404888,27 chemin des Placettes,Villechenève,69770
https://data.datatourisme.fr/13/f202d90b-ccb1-3351-ab56-c6f46ad71544,Châteaudouble,"['Châteaudouble, un village très riche en histoire vous emmène découvrir des secrets à travers son beau château.']",44.899586,5.093649,Place de la Fontaine,Châteaudouble,26120
https://data.datatourisme.fr/13/f20415b6-55b6-3333-bb23-9497d2b28a77,Cortigrimpe,"['Cortigrimpe est une salle d’escalade de 800m² et un bistro. Elle a été pensée comme un lieu de rencontre et d’échange pour tous, quelque soit son niveau et ses ambitions !']",46.259029,6.029619,"550 rue du Mont Blanc, Zone de l'Allondon",Saint-Genis-Pouilly,01630
https://data.datatourisme.fr/13/f2083403-dcaa-3dce-bb02-2f01ba26d142,Auberge Des Colettes,"['Restaurant cosy, traditionnel et familial. Cuisine de terroir, généreuse et gourmande. Cuisine faite maison.']",46.213588,3.005629,2 Route de la Plaine,Coutansouze,03330
https://data.datatourisme.fr/13/f2094870-3cb9-3ed0-a52f-2ca1a58cfa15,DiotVino,"['Caviste conseil et restaurant à vins à Saint-Jean-de-Maurienne. Sélection de vins de vignerons uniquement, principalement bio. Sélection de bières principalement locales et de spiritueux sélectionnés.']",45.276892,6.343278,Place du Marché,Saint-Jean-de-Maurienne,73300
https://data.datatourisme.fr/13/f20a6a00-6886-3070-9a70-fc0d490a9a82,Chaussure Pensée - Christian Louboutin,"['Le musée de la chaussure hors les murs.\r\nInspirée de modèles emblématiques exposées au musée de la Chaussure, ces œuvres rendent hommage à la créativité et à la technique de grands chausseurs, tels que Roger Vivier, Stephane Kelian, Charles Jourdan ....']",45.045767,5.049204,Début du Cours Pierre Didier,Romans-sur-Isère,26100
https://data.datatourisme.fr/13/f20af0b9-682e-3cda-ad28-ffcf9ba8c3c1,Gite Allier 2,['Gîte de charme à la campagne.'],46.294155,3.512308,1 rue Michel Virotte,Montaigu-le-Blin,03150
https://data.datatourisme.fr/13/f20ff542-8ca4-3337-a9b5-7dec7fa0adc3,Grand Gite L'Amandier,"[""Cet ensemble de maisons de caractère au coeur d'un paisible hameau, offre une vue panoramique et un grand confort avec piscine, jacuzzi et sauna. Décorés avec goût les lieux invitent au repos. Séjourner à l’Amandier c’est être en visite chez des amis.""]",44.800809,5.138469,"3020 route de Lozeron, Hameau de Lozeron",Gigors-et-Lozeron,26400
https://data.datatourisme.fr/13/f216225a-c06f-392f-8b29-9caa07f4039c,Restaurant Le Mistral,"['Découvrez les saveurs de la Drôme !\r\nMarie, notre chef, vous fera découvrir une cuisine de saison tout en saveurs, riche des produits du terroir.']",44.515116,4.744346,1766 Route Nationale 7,Châteauneuf-du-Rhône,26780
https://data.datatourisme.fr/13/f21bd900-5a4f-3a8d-9e9b-c47ff10ad931,LA GUINGUETTE de L'ermitage du Grand Bois,"[""L'ermitage du Grand Bois propose une cuisine éthique et conviviale, à base de produits frais, faits maison, de plantes, d'épices et de produits en vrac. En version table-auberge en basse saison ou en version plein-air en juillet-août.""]",44.58041,5.108157,"26 460 LE POET CELARD, Col de Boutière, Route D233",Le Poët-Célard,26460
https://data.datatourisme.fr/13/f21c132d-e796-3063-96b8-b3246139e685,Espace associatif l'Atrium,"[""Elaboré en concertation avec les associations de la commune, ce bâtiment est aujourd'hui devenu l'élément  fédérateur de la vie culturelle à Gilly sur Isère.""]",45.661506,6.350447,"168, rue de la Bévière",Gilly-sur-Isère,73200
https://data.datatourisme.fr/13/f21ccb03-3ba4-3e62-b00d-c8074fdccd03,Refuge de Roche Rousse,"[""Abri de la Roche Rousse, sous le rocher des Gressonnes, quartier des Sibourg. La tradition dit qu'il servait aux protestants après la Révocation de l'Edit de Nantes.""]",44.573663,5.155849,,Bourdeaux,26460
https://data.datatourisme.fr/13/f21fe16f-42cd-381f-8f2b-2250ddfab22c,Bobby bar,['Le Bar/Pub concert vous accueille avec toute son équipe du mardi au samedi de 16h à 01h pour des événements et des soirées avec une bonne ambiance !'],46.056865,6.549835,23 place du Foron,Scionzier,74950
https://data.datatourisme.fr/13/f2220563-be1e-336a-b407-93e0622087f8,Restaurant Noemys Morgon,"['Le chef vous propose tout au long de l’année une cuisine régionale, des spécialités de terroir et une carte des vins où vous retrouverez les dix crus du Beaujolais.']",46.159967,4.678601,Boulevard du parc,Villié-Morgon,69910
https://data.datatourisme.fr/13/f22cf263-2136-39cf-abeb-bef508725eda,Château des Comtes de Challes,['Cuisine gastronomique au fil des saisons.\r\nRestaurant labellisé 1 toque Gault et Millau'],45.554155,5.987631,247 montée du Château,Challes-les-Eaux,73190
